รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.,จำนวนเตียงที่ขอ,จำนวนเตียงเปิดจริง,สถานะ,สถานะการขอรับรอง,ระยะทางห่างจากอ.เมือง,ความเชี่ยวชาญพิเศษ,ประชากรที่รับผิดชอบ,จำนวนผู้รับบริการ,จำนวนผู้ป่วยนอก,จำนวนผู้ป่วยใน,อัตราการครองเตียง,วันนอนเฉลี่ยต่อคน,กลุ่มผู้ป่วยโรคสำคัญ
4,อ่างทอง,โรงพยาบาลป่าโมก,PAMOK HOSPITAL,10784,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,53,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,อ่างทอง,โรงพยาบาลโพธิ์ทอง,PHOTHONG HOSPITAL,10785,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,60,TRUE,อยู่ระหว่างต่ออายุ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,อ่างทอง,โรงพยาบาลแสวงหา,SAWAENGHA HOSPITAL,10786,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,48,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,อ่างทอง,โรงพยาบาลวิเศษชัยชาญ,WISETCHAICHAN HOSPITAL,10787,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),90,97,TRUE,NULL,12,การทำงานร่วมกับชุมชนและการดูแลต่อเนื่อง,50982,ปี 2563,188247,7574,74.85,3.23,1. โรคหัวใจและหลอดเลือด พบว่ามีจำนวนผู้ป่วยเพิ่มขึ้นต้องพัฒนาระบบการดูแลผู้ป่วยเพื่อให้เข้าถึงและเข้ารับบริการได้ทันเวลา <br />2. โรคหลอดเลือดสมอง พบผู้ป่วยเข้าถึงบริการไม่ทันเวลา 3 ชม. ต้องเพิ่มความรู้ของผู้ป่วยกลุ่มเสี่ยงเรื่องการประเมินอาการเตือน และช่องทางการเข้าถึงบริการ <br />3. โรคติดเชื้อ Sepsis พบปัญหาเรื่องการประเมินล่าช้า และการไม่ปฏิบัติตามแนวทางที่กำหนด<br />4. โรคไข้เลือดออก พบมีอัตราป่วยเกินเป้าหมาย  ต้องมีการควบคุม ป้องกัน และเฝ้าระวังอย่างต่อเนื่อง<br />5. มีอัตราผู้ป่วยเบาหวานรายใหม่จากกลุ่มเสี่ยงเบาหวานเพิ่มมากขึ้นในปี 2563<br />6. การบาดเจ็บจากอุบัติเหตุบนท้องถนน เนื่องจากโรงพยาบาลตั้งอยู่ระหว่างถนนสายหลัก 2 สาย ต้องพัฒนาระบบการดูแลผู้ป่วย การประเมิน การเคลื่อนย้ายและการส่งต่อ                                                <br />7. Intermediate care ได้รับการส่งกลับมารักษาต่อเพียง 28.57% (เป้าหมาย ? 40%) ต้องพัฒนาระบบการประสานและการส่งต่อข้อมูล
4,อ่างทอง,โรงพยาบาลสามโก้,SAMKO HOSPITAL,10788,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,42,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลพัฒนานิคม,PATTANA NIKHOM HOSPITAL,10789,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,65,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลโคกสำโรง,KHOKSAMRONG HOSPITAL,10790,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),120,123,TRUE,NULL,35,การดูแลผู้ป่วยโรคกล้ามเนื้อหัวใจขาดเลือดเฉียบพลัน  ที่ได้รับการละลายลิ่มเลือด (SK),50932,2564(ตุลาคม 2563-เมษายน 2564),25686,4174,80.65,4.92,โรคหัวใจ    โรคติดเชื้อในกระแสเลือด  โรคหลดเลืดสมองระยะพักฟื้น เบาหวานความดันโลหิต  โรคปอดอักเสบในเด็ก ชัก  ตกเลือดหลังคลอด  เลือดออกในกระเพาะอาหาร  ไส้ติ่งอักเสบ การบาดเจ็บทางศรีษะ 
4,ลพบุรี,โรงพยาบาลชัยบาดาล,CHAIBADAN HOSPITAL,10791,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),152,154,TRUE,ยืนยันการเยี่ยม,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลท่าวุ้ง,THAWUNG HOSPITAL,10792,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,50,TRUE,NULL,15,การดูแลผู้ป่วย Stroke ฟื้นฟูระยะกลาง,48647,ปี2564(ต.ค.-ก.ย.)ไม่รวมยอดรพ.สนามปิด IPDก.ค.-พ.ย.  ,87077,1954,41.98,3.4,1.DM 2. HT 3. STROKE 4.STMI 5.Sepsis
4,ลพบุรี,โรงพยาบาลท่าหลวง,THALUANG HOSPITAL,10793,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),35,36,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลสระโบสถ์,SABOT HOSPITAL,10794,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,30,TRUE,จัดทำใบประกาศนียบัตร,70,การดูแลผู้ป่วยเบาหวานและความดันโลหิตสูง,21571,"ปี 2564 ( ตค.63 - กย. 64 ) 67,958 คน",67958,1568,195.42,4.54,"1. กลุ่มผู้ป่วยฉุกเฉิน ได้แก่ Stroke , STEMI , Sepsis , Trauma , PPH , UGIB , BA<br />2. กลุ่มโรคเรื้อรัง ได้แก่ DM , HT , COPD , Asthma , CKD<br />3. โรคติดเชื้อ ได้แก่ TB , HIV<br />4. ภาวะเสี่ยงต่อสุขภาพ ตั้งครรภ์ในวัยรุ่น , คลอดก่อนกำหนด , ทารกขาดออกซิเจน , ทารกแรกเกิดน้ำหนักตัวน้อย<br />5. ปัญหาอื่นที่คุกคามต่อภาวะสุขภาพ ได้แก่ ยาเสพติด สุขภาพจิต อุบัตุเหตุจราจร<br />6. โรคจากการทำงาน / ประกอบอาชีพ ได้แก่ โรคระบบกล้ามเนื้อ อุบัติเหตุจากการทำงาน ( โรงงานน้ำตาล )เช่น เครื่องจักรหนีบ <br />ตกจากที่สูง น้ำร้อนลวก น้ำกรดกระเด็นเข้าตา""<br />"
4,ลพบุรี,โรงพยาบาลโคกเจริญ,KHOKCHAROEN HOSPITAL,10795,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),16,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลลำสนธิ,LAMSONTHI HOSPITAL,10796,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,ลพบุรี,โรงพยาบาลหนองม่วง,NONGMUANG HOSPITAL,10797,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สิงห์บุรี,โรงพยาบาลบางระจัน,BANGRACHAN HOSPITAL,10798,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สิงห์บุรี,โรงพยาบาลค่ายบางระจัน,KHAIBANGRACHAN HOSPITAL,10799,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สิงห์บุรี,โรงพยาบาลพรหมบุรี,PHROM BURI HOSPITAL,10800,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,26,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สิงห์บุรี,โรงพยาบาลท่าช้าง,THACHANG HOSPITAL,10801,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,36,TRUE,NULL,13,DHS,13787,2564,53698,1074,66.87,6.82,"Covid-19,Strock,STEMI,Sepsis"
3,ชัยนาท,โรงพยาบาลมโนรมย์,MANOROM HOSPITAL,10802,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,ชัยนาท,โรงพยาบาลวัดสิงห์,WATSING HOSPITAL,10803,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,35,TRUE,จัดทำใบประกาศนียบัตร,22,-,20181,2563,76452,1902,46.84,2.69,ผู้ป่วยโรคเรื้อรัง เบาหวาน ความดันโลหิตสูง
3,ชัยนาท,โรงพยาบาลสรรพยา,SAPPHAYA HOSPITAL,10804,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,อยู่ระหว่างต่ออายุ,20,การดูแลระบบบริการด้านปฐมภูมิ (ทีมหมอครอบครัว),26953,ปีงบประมาณ  2564 (ต.ค.63-ก.ย.64),35240,1232,45.86,4.076,"1.โรคฉุกเฉิน เช่น Trauma , Stroke , STEMI<br />2.โรคเรื้อรัง เช่น เบาหวาน ความดันโลหิตสูง COPD  CKD<br />3.โรคติดต่อ เช่น DHF , Leptospirosis , TB ,หูดับ<br />4.LTC เช่น มะเร็งระยะสุดท้าย , กลุ่มติดบ้านติดเตียง                                                                                                                  5.ปัญหาโรคอุบัติการณ์ใหม่ ได้แก่ COVID-19<br />6.ภาวะอื่นๆ เช่น Teenage Pregnancy , ปัญหาอุทกภัย"
3,ชัยนาท,โรงพยาบาลสรรคบุรี,SANKHABURI HOSPITAL,10805,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,60,TRUE,จัดทำใบประกาศนียบัตร,20,นำการแพทย์ผสมผสานมาใช้ในการบริบาลสุขภาพ,64012,2564(ตุลาคม2563-กันยายน2564),156610,3217,50.34,3.43,"1) สาขาโรคไม่ติดต่อเรื้อรังได้แก่ DM,HT,CKD,COPD   2)สาขาโรคหัวใจ ได้แก่ AMI,ACS  3)สาขามารดาและทารก 4)สาขามะเร็ง5)สาขาตาและไต"
3,ชัยนาท,โรงพยาบาลหันคา,HANKHA HOSPITAL,10806,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลแก่งคอย,KAENG KHOI HOSPITAL,10807,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,60,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลหนองแค,NONGKHAE HOSPITAL,10808,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),90,69,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลวิหารแดง,WIHANDANG HOSPITAL,10809,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลหนองแซง,NONGSAENG HOSPITAL,10810,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,24,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลบ้านหมอ,BANMO HOSPITAL,10811,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,32,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลดอนพุด,DONPHUT HOSPITAL,10812,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,15,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลหนองโดน,NONGDON HOSPITAL,10813,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,30,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลเสาไห้เฉลิมพระเกียรติ ๘๐ พรรษา,SAOHAI CHALOEMPHAKIAT 80 PHANSA HOSPITAL,10814,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลมวกเหล็ก,MUAKLEK HOSPITAL,10815,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,34,TRUE,จัดทำใบประกาศนียบัตร,36,"เวชศาสตร์ครอบครัว,การแพทย์ทางเลือกและการแพทย์แผนจีน (ฝังเข็ม)",56922,"ปี 2563 จำนวนผู้ป่วยนอก 116,895 ราย ผู้ป่วยใน 2,779 ราย",116895,2779,73,3,"STEMI, SEPSIS, STROKE"
4,สระบุรี,โรงพยาบาลวังม่วงสัทธรรม,WANGMUANGSATTHAM HOSPITAL,10816,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,รอเข้าคณะอนุกรรมการพิจารณา,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลบ้านบึง,BANBUNG HOSPITAL,10817,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),120,145,TRUE,รอเข้าคณะอนุกรรมการพิจารณา,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลหนองใหญ่,NONGYAI HOSPITAL,10818,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,(คณะอนุกรรมการ)พิจารณารับรอง,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลบางละมุง,BANGLAMUNG HOSPITAL,10819,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),250,250,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลวัดญาณสังวราราม,WAT YANSANGWARARAM HOSPITAL,10820,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลพานทอง,PHANTHONG HOSPITAL,10821,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,60,TRUE,NULL,22,การดำเนินงานเชิงรุก,73826,ปี 2563 (ตุลาคม 2562 - กันยายน 2563),235671,5973,86.53,3.18,DM/ HT/ STEMI/ Stroke/ Sepsis/ DHF/ TB/ Head injury/ Multiple trauma/PPH
6,ชลบุรี,โรงพยาบาลพนัสนิคม,PHANAT NIKHOM HOSPITAL,10822,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),120,185,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลแหลมฉบัง,LAEMCHABANG HOSPITAL,10823,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),90,120,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลเกาะสีชัง,KOH SICHANG HOSPITAL,10824,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,จัดทำใบประกาศนียบัตร,34,การส่งเสริม ป้องกัน รักษา ฟื้นฟู การทำงานชุมชน,3109,2564( ตุลาคม 2563-สิงหาคม 2564),28357,203,42.21,6.25,"NCD : DM, HT, CKD <br />Acute : Stroke , STEMI, Sepsis , Appendicitis , Trauma Head Injury<br />CD : TB, DHF, Co-vid -19"
6,ชลบุรี,โรงพยาบาลสัตหีบ กม.10,SATTAHIP K.M.10 HOSPITAL,10825,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,56,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ชลบุรี,โรงพยาบาลบ่อทอง,BOTHONG HOSPITAL,10826,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,60,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลเฉลิมพระเกียรติ สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ระยอง,MABTAPHUT HOSPITAL,10827,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),200,162,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลบ้านฉาง,BANCHANG HOSPITAL,10828,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),120,70,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลแกลง,KLAENG HOSPITAL,10829,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลทั่วไป(รพท.),200,224,TRUE,รอการจัดเยี่ยมสำรวจ,0,ศูนย์บริบาลผู้บาดเจ็บระดับ 3,180154,ปี 2565 (ตุลาคม 2564 - กุมภาพันธ์2565),68553,3530,62,3.74,"sepsis,  stemi,TBI, Chest  injury ,PIH , Stroke,Rupture Appendicitis,Ectopic Pregnancy,Birth asphyxia,neonatal sepsis,# femer  failed implant ,Covid 19"
6,ระยอง,โรงพยาบาลวังจันทร์,WANGCHAN HOSPITAL,10830,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,42,TRUE,NULL,60,การสร้างเสริม ป้องกันและฟื้นฟูสุขภาพด้วยการผสมผสานด้านการแพทย์แผนไทย,24570,ปี2563,81881,1758,49.1,3.2,"1.Non Trauma  Acuteได้แก่ STEMI, Stroke,Sepsis , PPH และChronicได้แก่ DM , HTN ,COPD,AIDS , TB ,จิตเวช<br />2.Trauma ได้แก่ Head injury  c Multiple trauma<br />3.ภัยสุขภาพ :ไข้เลือดออก /Teenage Pregnancy<br />4.อื่นๆ ยาเสพติด"
6,ระยอง,โรงพยาบาลบ้านค่าย,BANKHAI HOSPITAL,10831,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),38,30,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลปลวกแดง,PLUAKDAENG HOSPITAL,10832,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,60,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ฉะเชิงเทรา,โรงพยาบาลท่าตะเกียบ,THATAKIAB HOSPITAL,10833,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,41,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,จันทบุรี,โรงพยาบาลขลุง,KHLUNG HOSPITAL,10834,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,34,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,จันทบุรี,โรงพยาบาลท่าใหม่,THAMAI HOSPITAL,10835,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,จันทบุรี,โรงพยาบาลเขาสุกิม,KHAOSUKIM HOSPITAL,10836,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,NULL,24,1. การสร้างความร่วมมือกับเครือข่ายโรค DM / HT  2. การแพทย์ผสมผสาน(แผนปัจจุบัน/แพทย์ทางเลือกสมาธิบำบัด/โยคะบำบัด/แพทย์แผนไทย) ,18273,ปี 2564 (เดือน ต.ค.2563 - มิ.ย.2564),22107,2846,84.3,3.2,"Trauma:Multiple trauma & Head injury<br />Nontrauma:<br />	Acute: STEMI, Acute Stroke, Sepsis, Dengue infection, PPH, Febrile convulsion, Pneumonia<br />        Chronic:DM, HT, ASthma, COPD<br />"
6,จันทบุรี,โรงพยาบาลสองพี่น้อง,SONGPEENONG HOSPITAL,10837,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,รอการจัดเยี่ยมสำรวจ,20,Cohort ward,22892,ปี 2564 (เดือนตุลาคม 2563 - เดือนกันยายน 2564),71072,1209,50.99,4.6,"DM, HT, Stroke, STEMI"
6,จันทบุรี,โรงพยาบาลโป่งน้ำร้อน,PONGNUMRON HOSPITAL,10838,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,69,TRUE,NULL,43,มีความเชี่ยวชาญด้านการป้องกันและควบคุมโรคติดต่อชายแดน และ primary care,45645,ปี 2564 (ตุลาคม2563-เมษายน 2564),28002,1745,52.66,3.84,"1.NCD : DM, HT, COPD<br />2.High risk : MI, sepsis, stroke<br />3.โรคติดต่อในพื้นที่และโรคติดต่อชายแดน : TB, Syphilis, Dengue fever, Covid-19"
6,จันทบุรี,โรงพยาบาลมะขาม,MAKHAM HOSPITAL,10839,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,35,TRUE,เขียนรายงาน,15,•การดูแลผู้ป่วยโรคเรื้อรังแบบองค์รวม เช่น เบาหวาน ความดันโลหิตสูง โรคถุงลมโป่งพอง <br />•การทำงานเป็นทีมร่วมมือกับภาคีเครือข่าย <br />,32049,เดือนตุลาคม2563-เดือนกันยายน2564,107172,1963,57.31,3.26,"1.Trauma: Multiple Trauma <br />2.Non Trauma: MI, Stroke,  HT, DM, COPD<br />3.ภัยสุขภาพ: อุบัติเหตุจราจร <br />4.ปัญหาโรคติดเชื้อ:  Sepsis, TB, Pneumonia<br />"
6,จันทบุรี,โรงพยาบาลแหลมสิงห์,LAEMSING HOSPITAL,10840,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,30,TRUE,เขียนรายงาน,20,การดูแลผู้ป่วยโรคเรื้อรังร่วมกับเครือข่าย,301860,ปี2020-2021 (ตุลาคม- กันยายน),74599,24360,60,19,โรคเบาเหวาน โรคความดันโลหิตสูง โรคหลอดเลือดสมอง โรคหัวใจ โรคติดเชื้อในกระแสเลือด
6,จันทบุรี,โรงพยาบาลสอยดาว,SOIDAO HOSPITAL,10841,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),60,62,TRUE,NULL,72,ไม่มี,64436,ปี 2563 (1 ต.ค.63-30 ก.ย.64),97741,3766,54.87,3.19,"1.Dead :STEMI, Pneumonia                     <br />2.โรคเรื้อรัง : DM, COPD<br />3. เฝ้าระวัง : TB, HIV,จิตเวช<br />4. โรคที่ต้องส่งต่อ : HI, Stroke, Sepsis<br />5.กลุ่มแม่และเด็ก : PPH, BA"
6,จันทบุรี,โรงพยาบาลแก่งหางแมว,KEANGHANGMEOW HOSPITAL,10842,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,34,TRUE,NULL,76,กลุ่มโรคเรื้อรัง,30000,"93,001",61448,2231,75.42,3.9,HT  DM  Stroke Sepsis
6,จันทบุรี,โรงพยาบาลนายายอาม,NAYAIAM HOSPITAL,10843,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30,37,TRUE,รอการจัดเยี่ยมสำรวจ,43,การบริการการแพทย์ ฉุกเฉิน DM HT LTC,34096,ปีงบประมาณ 2564 ( ตค.63 -กย.64),103063,2006,72.31,20.91,DM HT HI STOKE STEMI
